Jul - Jun reference period,Offence Subdivision,Offence Group,Location Division,Location Subdivision,Location Group,Offence Count
2010,B40 Theft,B43 Steal from a retail store,2 Community,29 Other community location,292 Civic Centre,2
2010,B40 Theft,B43 Steal from a retail store,3 Other,31 Admin/professional,311 Business Office,28
2010,B40 Theft,B43 Steal from a retail store,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2010,B40 Theft,B43 Steal from a retail store,3 Other,32 Financial,323 ATM/Eftpos,1
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,331 Chemist/Pharmacy,465
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,3310 24Hr Convenience,166
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,3311 Restaurant/Fastfood,54
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,3312 Other Retail,"7,259"
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,332 Service Station,321
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,333 Jeweller,45
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,334 2nd Hand Dealer,22
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,335 Supermarket,"6,046"
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,336 Department Store,"3,629"
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,337 Shopping Complex,"1,467"
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,338 Car Sales Yard,1
2010,B40 Theft,B43 Steal from a retail store,3 Other,33 Retail,339 Milkbar,81
2010,B40 Theft,B43 Steal from a retail store,3 Other,34 Wholesale,341 Any Wholesale,5
2010,B40 Theft,B43 Steal from a retail store,3 Other,35 Warehousing/storage,351 Warehousing/Storage,21
2010,B40 Theft,B43 Steal from a retail store,3 Other,36 Manufacturing,361 Factory,2
2010,B40 Theft,B43 Steal from a retail store,3 Other,37 Agricultural,371 Farmland/Agricultural,1
2010,B40 Theft,B43 Steal from a retail store,3 Other,37 Agricultural,373 Other Agricultural,2
2010,B40 Theft,B43 Steal from a retail store,3 Other,38 Recreational,381 Licenced Premises,441
2010,B40 Theft,B43 Steal from a retail store,3 Other,38 Recreational,384 Sport Area/Facility,6
2010,B40 Theft,B43 Steal from a retail store,3 Other,38 Recreational,385 Gaming Venue,5
2010,B40 Theft,B43 Steal from a retail store,3 Other,38 Recreational,386 Other Rec./Sports,5
2010,B40 Theft,B43 Steal from a retail store,3 Other,39 Other location,392 Other Location (Not Elsewhere),10
2010,B40 Theft,B43 Steal from a retail store,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,"1,236"
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,250
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,11 Dwelling - private,112 House,525
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,11 Dwelling - private,113 Bungalow,1
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,43
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,11 Dwelling - private,115 Houseboat,1
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,11 Dwelling - private,116 Ministry Of Housing,13
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,12 Dwelling  - non-private,121 Boarding House,10
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,12 Dwelling  - non-private,122 Holiday Home,3
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,12 Dwelling  - non-private,123 Guest House,2
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,12 Dwelling  - non-private,124 Nursing Home,1
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,7
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,12
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,1
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,13 Grounds/surrounding land,132 Backyard,348
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,13 Grounds/surrounding land,133 Frontyard,713
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,13 Grounds/surrounding land,134 Garage,229
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,13 Grounds/surrounding land,135 Shed,41
2010,B40 Theft,B44 Theft of a bicycle,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),48
2010,B40 Theft,B44 Theft of a bicycle,2 Community,21 Education,211 School,37
2010,B40 Theft,B44 Theft of a bicycle,2 Community,21 Education,212 School Grounds,167
2010,B40 Theft,B44 Theft of a bicycle,2 Community,21 Education,213 Other Educational,71
2010,B40 Theft,B44 Theft of a bicycle,2 Community,22 Health,221 Hospital,9
2010,B40 Theft,B44 Theft of a bicycle,2 Community,22 Health,222 Medical Centre,4
2010,B40 Theft,B44 Theft of a bicycle,2 Community,22 Health,224 Other Health,10
2010,B40 Theft,B44 Theft of a bicycle,2 Community,23 Religious,231 Church,6
2010,B40 Theft,B44 Theft of a bicycle,2 Community,23 Religious,232 Other religious,1
2010,B40 Theft,B44 Theft of a bicycle,2 Community,24 Public Transport,241 Train,7
2010,B40 Theft,B44 Theft of a bicycle,2 Community,24 Public Transport,242 Train Station,206
2010,B40 Theft,B44 Theft of a bicycle,2 Community,24 Public Transport,243 Railway Carpark,91
2010,B40 Theft,B44 Theft of a bicycle,2 Community,24 Public Transport,244 Tram/Tram Stop,2
2010,B40 Theft,B44 Theft of a bicycle,2 Community,24 Public Transport,245 Bus/Bus Stop,7
2010,B40 Theft,B44 Theft of a bicycle,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2010,B40 Theft,B44 Theft of a bicycle,2 Community,25 Other Transport,251 Private Car,3
2010,B40 Theft,B44 Theft of a bicycle,2 Community,25 Other Transport,252 Airfield,3
2010,B40 Theft,B44 Theft of a bicycle,2 Community,25 Other Transport,254 Dock/Wharf,2
2010,B40 Theft,B44 Theft of a bicycle,2 Community,25 Other Transport,255 Carpark (Single Level),133
2010,B40 Theft,B44 Theft of a bicycle,2 Community,25 Other Transport,256 Carpark (Multi Level),38
2010,B40 Theft,B44 Theft of a bicycle,2 Community,25 Other Transport,257 Other Transport Type/Area,19
2010,B40 Theft,B44 Theft of a bicycle,2 Community,26 Justice,261 Police Station,2
2010,B40 Theft,B44 Theft of a bicycle,2 Community,26 Justice,262 Court,1
2010,B40 Theft,B44 Theft of a bicycle,2 Community,27 Open Space,271 Parkland/Reserve,62
2010,B40 Theft,B44 Theft of a bicycle,2 Community,27 Open Space,272 Rural,1
2010,B40 Theft,B44 Theft of a bicycle,2 Community,27 Open Space,273 Vacant Block,1
2010,B40 Theft,B44 Theft of a bicycle,2 Community,27 Open Space,274 Beach Foreshore,29
2010,B40 Theft,B44 Theft of a bicycle,2 Community,27 Open Space,275 Other Open Space,35
2010,B40 Theft,B44 Theft of a bicycle,2 Community,27 Open Space,276 Beach Car Park,4
2010,B40 Theft,B44 Theft of a bicycle,2 Community,28 Street/footpath,281 Street/Lane/Footpath,653
2010,B40 Theft,B44 Theft of a bicycle,2 Community,29 Other community location,292 Civic Centre,8
2010,B40 Theft,B44 Theft of a bicycle,3 Other,31 Admin/professional,311 Business Office,14
2010,B40 Theft,B44 Theft of a bicycle,3 Other,31 Admin/professional,312 Other Admin/Professional,5
2010,B40 Theft,B44 Theft of a bicycle,3 Other,32 Financial,321 Bank,1
2010,B40 Theft,B44 Theft of a bicycle,3 Other,33 Retail,331 Chemist/Pharmacy,5
2010,B40 Theft,B44 Theft of a bicycle,3 Other,33 Retail,3310 24Hr Convenience,1
2010,B40 Theft,B44 Theft of a bicycle,3 Other,33 Retail,3311 Restaurant/Fastfood,24
2010,B40 Theft,B44 Theft of a bicycle,3 Other,33 Retail,3312 Other Retail,45
2010,B40 Theft,B44 Theft of a bicycle,3 Other,33 Retail,332 Service Station,5
2010,B40 Theft,B44 Theft of a bicycle,3 Other,33 Retail,335 Supermarket,18
2010,B40 Theft,B44 Theft of a bicycle,3 Other,33 Retail,336 Department Store,5
2010,B40 Theft,B44 Theft of a bicycle,3 Other,33 Retail,337 Shopping Complex,68
2010,B40 Theft,B44 Theft of a bicycle,3 Other,33 Retail,338 Car Sales Yard,1
2010,B40 Theft,B44 Theft of a bicycle,3 Other,33 Retail,339 Milkbar,9
2010,B40 Theft,B44 Theft of a bicycle,3 Other,35 Warehousing/storage,351 Warehousing/Storage,6
2010,B40 Theft,B44 Theft of a bicycle,3 Other,36 Manufacturing,361 Factory,2
2010,B40 Theft,B44 Theft of a bicycle,3 Other,37 Agricultural,371 Farmland/Agricultural,2
2010,B40 Theft,B44 Theft of a bicycle,3 Other,38 Recreational,381 Licenced Premises,12
2010,B40 Theft,B44 Theft of a bicycle,3 Other,38 Recreational,382 Tab,2
2010,B40 Theft,B44 Theft of a bicycle,3 Other,38 Recreational,383 Cinema,3
2010,B40 Theft,B44 Theft of a bicycle,3 Other,38 Recreational,384 Sport Area/Facility,26
2010,B40 Theft,B44 Theft of a bicycle,3 Other,38 Recreational,385 Gaming Venue,1
2010,B40 Theft,B44 Theft of a bicycle,3 Other,38 Recreational,386 Other Rec./Sports,27
2010,B40 Theft,B44 Theft of a bicycle,3 Other,39 Other location,392 Other Location (Not Elsewhere),24
2010,B40 Theft,B44 Theft of a bicycle,3 Other,39 Other location,393 Construction Site,1
2010,B40 Theft,B44 Theft of a bicycle,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,225
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,247
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,11 Dwelling - private,112 House,"1,148"
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,11 Dwelling - private,113 Bungalow,1
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,2
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,11 Dwelling - private,116 Ministry Of Housing,28
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,12 Dwelling  - non-private,121 Boarding House,6
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,12 Dwelling  - non-private,122 Holiday Home,1
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,30
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,3
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,13 Grounds/surrounding land,132 Backyard,10
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,13 Grounds/surrounding land,133 Frontyard,37
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,13 Grounds/surrounding land,134 Garage,8
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,13 Grounds/surrounding land,135 Shed,18
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,4
2010,B40 Theft,B45 Receiving or handling stolen goods,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),26
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,21 Education,211 School,14
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,21 Education,212 School Grounds,2
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,21 Education,213 Other Educational,3
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,22 Health,221 Hospital,1
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,22 Health,222 Medical Centre,2
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,22 Health,223 Dental,1
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,22 Health,224 Other Health,2
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,24 Public Transport,241 Train,10
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,24 Public Transport,242 Train Station,75
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,24 Public Transport,243 Railway Carpark,6
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,24 Public Transport,244 Tram/Tram Stop,3
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,24 Public Transport,245 Bus/Bus Stop,3
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,24 Public Transport,246 Depot/Terminal,3
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,24 Public Transport,247 Freight Yard,2
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,25 Other Transport,251 Private Car,6
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,25 Other Transport,252 Airfield,11
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,25 Other Transport,255 Carpark (Single Level),90
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,25 Other Transport,256 Carpark (Multi Level),9
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,25 Other Transport,257 Other Transport Type/Area,2
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,26 Justice,261 Police Station,28
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,26 Justice,262 Court,1
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,26 Justice,263 Prison/Detention Centre,2
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,26 Justice,264 Youth Training Centre,2
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,27 Open Space,271 Parkland/Reserve,22
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,27 Open Space,272 Rural,6
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,27 Open Space,274 Beach Foreshore,2
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,27 Open Space,275 Other Open Space,2
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,27 Open Space,276 Beach Car Park,1
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,28 Street/footpath,281 Street/Lane/Footpath,"1,324"
2010,B40 Theft,B45 Receiving or handling stolen goods,2 Community,29 Other community location,292 Civic Centre,4
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,31 Admin/professional,311 Business Office,20
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,32 Financial,321 Bank,10
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,331 Chemist/Pharmacy,12
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,3310 24Hr Convenience,4
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,3311 Restaurant/Fastfood,9
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,3312 Other Retail,213
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,332 Service Station,14
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,333 Jeweller,1
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,334 2nd Hand Dealer,66
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,335 Supermarket,32
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,336 Department Store,37
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,337 Shopping Complex,68
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,338 Car Sales Yard,6
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,33 Retail,339 Milkbar,3
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,35 Warehousing/storage,351 Warehousing/Storage,8
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,36 Manufacturing,361 Factory,16
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,36 Manufacturing,362 Any Manufacturing,4
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,37 Agricultural,371 Farmland/Agricultural,3
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,38 Recreational,381 Licenced Premises,33
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,38 Recreational,384 Sport Area/Facility,14
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,38 Recreational,385 Gaming Venue,4
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,38 Recreational,386 Other Rec./Sports,8
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,39 Other location,391 Massage Parlour/Brothel,1
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,39 Other location,392 Other Location (Not Elsewhere),117
2010,B40 Theft,B45 Receiving or handling stolen goods,3 Other,39 Other location,393 Construction Site,1
2010,B40 Theft,B45 Receiving or handling stolen goods,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,"1,986"
2010,B40 Theft,B46 Fare evasion,1 Residential,13 Grounds/surrounding land,133 Frontyard,1
2010,B40 Theft,B46 Fare evasion,2 Community,24 Public Transport,241 Train,26
2010,B40 Theft,B46 Fare evasion,2 Community,24 Public Transport,242 Train Station,58
2010,B40 Theft,B46 Fare evasion,2 Community,24 Public Transport,243 Railway Carpark,1
2010,B40 Theft,B46 Fare evasion,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2010,B40 Theft,B46 Fare evasion,2 Community,28 Street/footpath,281 Street/Lane/Footpath,2
2010,B40 Theft,B46 Fare evasion,3 Other,33 Retail,3310 24Hr Convenience,2
2010,B40 Theft,B46 Fare evasion,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,18
2010,B40 Theft,B49 Other theft,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,813
2010,B40 Theft,B49 Other theft,1 Residential,11 Dwelling - private,112 House,"4,912"
2010,B40 Theft,B49 Other theft,1 Residential,11 Dwelling - private,113 Bungalow,15
2010,B40 Theft,B49 Other theft,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,137
2010,B40 Theft,B49 Other theft,1 Residential,11 Dwelling - private,115 Houseboat,5
2010,B40 Theft,B49 Other theft,1 Residential,11 Dwelling - private,116 Ministry Of Housing,113
2010,B40 Theft,B49 Other theft,1 Residential,12 Dwelling  - non-private,121 Boarding House,166
2010,B40 Theft,B49 Other theft,1 Residential,12 Dwelling  - non-private,122 Holiday Home,74
2010,B40 Theft,B49 Other theft,1 Residential,12 Dwelling  - non-private,123 Guest House,26
2010,B40 Theft,B49 Other theft,1 Residential,12 Dwelling  - non-private,124 Nursing Home,292
2010,B40 Theft,B49 Other theft,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,660
2010,B40 Theft,B49 Other theft,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,79
2010,B40 Theft,B49 Other theft,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,46
2010,B40 Theft,B49 Other theft,1 Residential,13 Grounds/surrounding land,132 Backyard,"1,115"
2010,B40 Theft,B49 Other theft,1 Residential,13 Grounds/surrounding land,133 Frontyard,"3,048"
2010,B40 Theft,B49 Other theft,1 Residential,13 Grounds/surrounding land,134 Garage,243
2010,B40 Theft,B49 Other theft,1 Residential,13 Grounds/surrounding land,135 Shed,198
2010,B40 Theft,B49 Other theft,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,841
2010,B40 Theft,B49 Other theft,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),287
2010,B40 Theft,B49 Other theft,2 Community,21 Education,211 School,"1,060"
2010,B40 Theft,B49 Other theft,2 Community,21 Education,212 School Grounds,333
2010,B40 Theft,B49 Other theft,2 Community,21 Education,213 Other Educational,509
2010,B40 Theft,B49 Other theft,2 Community,22 Health,221 Hospital,444
2010,B40 Theft,B49 Other theft,2 Community,22 Health,222 Medical Centre,292
2010,B40 Theft,B49 Other theft,2 Community,22 Health,223 Dental,15
2010,B40 Theft,B49 Other theft,2 Community,22 Health,224 Other Health,192
2010,B40 Theft,B49 Other theft,2 Community,23 Religious,231 Church,169
2010,B40 Theft,B49 Other theft,2 Community,23 Religious,232 Other religious,22
2010,B40 Theft,B49 Other theft,2 Community,24 Public Transport,241 Train,279
2010,B40 Theft,B49 Other theft,2 Community,24 Public Transport,242 Train Station,406
2010,B40 Theft,B49 Other theft,2 Community,24 Public Transport,243 Railway Carpark,43
2010,B40 Theft,B49 Other theft,2 Community,24 Public Transport,244 Tram/Tram Stop,166
2010,B40 Theft,B49 Other theft,2 Community,24 Public Transport,245 Bus/Bus Stop,152
2010,B40 Theft,B49 Other theft,2 Community,24 Public Transport,246 Depot/Terminal,83
2010,B40 Theft,B49 Other theft,2 Community,24 Public Transport,247 Freight Yard,15
2010,B40 Theft,B49 Other theft,2 Community,24 Public Transport,248 Office (Public transport office Only),8
2010,B40 Theft,B49 Other theft,2 Community,24 Public Transport,249 Taxi,129
2010,B40 Theft,B49 Other theft,2 Community,25 Other Transport,251 Private Car,12
2010,B40 Theft,B49 Other theft,2 Community,25 Other Transport,252 Airfield,82
2010,B40 Theft,B49 Other theft,2 Community,25 Other Transport,253 Boat,42
2010,B40 Theft,B49 Other theft,2 Community,25 Other Transport,254 Dock/Wharf,57
2010,B40 Theft,B49 Other theft,2 Community,25 Other Transport,255 Carpark (Single Level),337
2010,B40 Theft,B49 Other theft,2 Community,25 Other Transport,256 Carpark (Multi Level),59
2010,B40 Theft,B49 Other theft,2 Community,25 Other Transport,257 Other Transport Type/Area,106
2010,B40 Theft,B49 Other theft,2 Community,26 Justice,261 Police Station,62
2010,B40 Theft,B49 Other theft,2 Community,26 Justice,262 Court,20
2010,B40 Theft,B49 Other theft,2 Community,26 Justice,263 Prison/Detention Centre,9
2010,B40 Theft,B49 Other theft,2 Community,26 Justice,264 Youth Training Centre,4
2010,B40 Theft,B49 Other theft,2 Community,26 Justice,265 Other Justice Facility,13
2010,B40 Theft,B49 Other theft,2 Community,27 Open Space,271 Parkland/Reserve,592
2010,B40 Theft,B49 Other theft,2 Community,27 Open Space,272 Rural,81
2010,B40 Theft,B49 Other theft,2 Community,27 Open Space,273 Vacant Block,61
2010,B40 Theft,B49 Other theft,2 Community,27 Open Space,274 Beach Foreshore,339
2010,B40 Theft,B49 Other theft,2 Community,27 Open Space,275 Other Open Space,258
2010,B40 Theft,B49 Other theft,2 Community,27 Open Space,276 Beach Car Park,25
2010,B40 Theft,B49 Other theft,2 Community,28 Street/footpath,281 Street/Lane/Footpath,"2,852"
2010,B40 Theft,B49 Other theft,2 Community,29 Other community location,291 Cemetery,59
2010,B40 Theft,B49 Other theft,2 Community,29 Other community location,292 Civic Centre,184
2010,B40 Theft,B49 Other theft,2 Community,29 Other community location,293 Gallery,23
2010,B40 Theft,B49 Other theft,3 Other,31 Admin/professional,311 Business Office,"1,239"
2010,B40 Theft,B49 Other theft,3 Other,31 Admin/professional,312 Other Admin/Professional,204
2010,B40 Theft,B49 Other theft,3 Other,32 Financial,321 Bank,261
2010,B40 Theft,B49 Other theft,3 Other,32 Financial,322 Credit Society,1
2010,B40 Theft,B49 Other theft,3 Other,32 Financial,323 ATM/Eftpos,82
2010,B40 Theft,B49 Other theft,3 Other,32 Financial,324 Other Financial,11
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,331 Chemist/Pharmacy,130
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,3310 24Hr Convenience,376
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,3311 Restaurant/Fastfood,"1,387"
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,3312 Other Retail,"3,126"
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,332 Service Station,"5,008"
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,333 Jeweller,42
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,334 2nd Hand Dealer,40
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,335 Supermarket,"1,148"
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,336 Department Store,"1,182"
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,337 Shopping Complex,"2,108"
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,338 Car Sales Yard,91
2010,B40 Theft,B49 Other theft,3 Other,33 Retail,339 Milkbar,128
2010,B40 Theft,B49 Other theft,3 Other,34 Wholesale,341 Any Wholesale,151
2010,B40 Theft,B49 Other theft,3 Other,35 Warehousing/storage,351 Warehousing/Storage,343
2010,B40 Theft,B49 Other theft,3 Other,36 Manufacturing,361 Factory,477
2010,B40 Theft,B49 Other theft,3 Other,36 Manufacturing,362 Any Manufacturing,166
2010,B40 Theft,B49 Other theft,3 Other,37 Agricultural,371 Farmland/Agricultural,466
2010,B40 Theft,B49 Other theft,3 Other,37 Agricultural,372 Orchard,8
2010,B40 Theft,B49 Other theft,3 Other,37 Agricultural,373 Other Agricultural,105
2010,B40 Theft,B49 Other theft,3 Other,38 Recreational,381 Licenced Premises,"2,685"
2010,B40 Theft,B49 Other theft,3 Other,38 Recreational,382 Tab,29
2010,B40 Theft,B49 Other theft,3 Other,38 Recreational,383 Cinema,57
2010,B40 Theft,B49 Other theft,3 Other,38 Recreational,384 Sport Area/Facility,841
2010,B40 Theft,B49 Other theft,3 Other,38 Recreational,385 Gaming Venue,288
2010,B40 Theft,B49 Other theft,3 Other,38 Recreational,386 Other Rec./Sports,731
2010,B40 Theft,B49 Other theft,3 Other,39 Other location,391 Massage Parlour/Brothel,10
2010,B40 Theft,B49 Other theft,3 Other,39 Other location,392 Other Location (Not Elsewhere),780
2010,B40 Theft,B49 Other theft,3 Other,39 Other location,393 Construction Site,556
2010,B40 Theft,B49 Other theft,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,"2,686"
2010,B50 Deception,B51 Forgery and counterfeiting,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,13
2010,B50 Deception,B51 Forgery and counterfeiting,1 Residential,11 Dwelling - private,112 House,101
2010,B50 Deception,B51 Forgery and counterfeiting,1 Residential,11 Dwelling - private,116 Ministry Of Housing,1
2010,B50 Deception,B51 Forgery and counterfeiting,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,8
2010,B50 Deception,B51 Forgery and counterfeiting,1 Residential,13 Grounds/surrounding land,133 Frontyard,2
2010,B50 Deception,B51 Forgery and counterfeiting,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,1
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,21 Education,211 School,5
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,21 Education,213 Other Educational,1
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,22 Health,221 Hospital,1
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,22 Health,222 Medical Centre,3
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,22 Health,223 Dental,1
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,22 Health,224 Other Health,6
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,23 Religious,231 Church,1
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,24 Public Transport,242 Train Station,22
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,25 Other Transport,251 Private Car,1
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,25 Other Transport,255 Carpark (Single Level),8
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,25 Other Transport,256 Carpark (Multi Level),1
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,26 Justice,261 Police Station,13
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,26 Justice,262 Court,2
2010,B50 Deception,B51 Forgery and counterfeiting,2 Community,26 Justice,265 Other Justice Facility,6
